SA2 Code,SA2 Label,Heart stroke vascular (%) All ages,Heart stroke vascular (%) 60 years and over,Heart stroke vascular (%) 70 years and over
116031313,Bidwill - Hebersham - Emerton,NA,20.6,25.9
213011338,Sunshine West,NA,20.9,25.9
210051442,Craigieburn - North,NA,NA,25.9
106011109,Cessnock Region,NA,NA,25.9
125031481,Granville - Clyde,NA,18.8,26
127021513,Canley Vale - Canley Heights,NA,19.1,26
402011025,Gawler - North,NA,19.7,26
214011374,Langwarrin,NA,19.8,26
101051540,Goulburn Region,NA,19.8,26
111011211,Redhead,NA,19.9,26
308031217,Rockhampton City,NA,20,26
402021034,Smithfield - Elizabeth North,NA,20.3,26
113011256,Griffith (NSW),NA,20.5,26
127021520,St Johns Park - Wakeley,NA,NA,26
213031352,Yarraville,NA,19.3,26.1
123021444,Rosemeadow - Glen Alpine,NA,19.3,26.1
106011112,Singleton,NA,19.9,26.1
601011001,Bridgewater - Gagebrook,NA,20.2,26.1
209021207,Reservoir - East,NA,20.5,26.1
216031416,Shepparton - North,NA,20.5,26.1
114011282,Ulladulla,NA,20.8,26.1
210031237,Fawkner,NA,21.2,26.1
127031601,Warwick Farm,NA,NA,26.1
106011113,Singleton Region,NA,NA,26.1
215011389,Horsham Region,NA,19.1,26.2
107011134,Unanderra - Mount Kembla,NA,19.7,26.2
111011213,Valentine - Eleebana,NA,19.8,26.2
213051467,Werribee - East,NA,19.9,26.2
127021519,Smithfield - Wetherill Park,NA,19.9,26.2
213051362,Hoppers Crossing - South,NA,20.2,26.2
216011410,Rushworth,NA,20.4,26.2
124031463,Mulgoa - Luddenham - Orchard Hills,NA,20.6,26.2
507051190,Safety Bay - Shoalwater,7.8,21.2,26.2
210031440,Hadfield,NA,21.3,26.2
210051243,Campbellfield - Coolaroo,NA,21.4,26.2
125021477,Ermington - Rydalmere,NA,18.8,26.3
209041224,Wallan,NA,19.1,26.3
206021112,Thornbury,NA,19.4,26.3
213011332,Keilor Downs,NA,19.5,26.3
127031599,Lurnea - Cartwright,NA,20.4,26.3
106021115,Maitland - East,5.9,20.5,26.3
801081097,Waramanga,6.9,21.1,26.3
109031184,Moama,8.4,21.6,26.3
601031015,Claremont (Tas.),6.8,21.8,26.3
216011408,Lockington - Gunbower,NA,NA,26.3
